Model_name,Racket_type,Weight,Brand,Grip_size,Color,Tension,Material,Head_shape,Price,Playing_level
Titan Atlas,head heavy,86,AtlasForce,G4,Atlas Silver/Mountain Blue,30,graphite,oval,2100,Professional
LightSpeed Photon,head light,77,PhotonTech,G5,Photon Yellow/Light Blue,26,carbon,isometric,1700,Intermediate
Precision Hawk,even balance,81,HawkTech,G3,Hawk Brown/Forest Green,28,graphite,oval,1800,Advanced
Tornado Cyclone,head heavy,85,CycloneForce,G4,Cyclone Gray/Storm Blue,29,carbon,isometric,2050,Professional
Kinetic Electron,dual balanced,84,ElectronTech,G5,Electron Blue/Energy Green,28,graphite,oval,1950,Advanced
Galactic Nova,head heavy,87,NovaTech,G4,Galactic Purple/Stardust Silver,30,carbon,isometric,2150,Professional
Zenith Peak,even balance,83,PeakForce,G5,Zenith Blue/Summit White,28,graphite,oval,1950,Advanced
Feather Gossamer,head light,75,GossamerTech,G3,Gossamer White/Mist Gray,25,carbon,isometric,1600,Intermediate
Titan Leviathan,head heavy,88,LeviathanForce,G4,Leviathan Blue/Deep Sea Black,31,graphite,oval,2200,Professional
Zephyr Boreas,head light,76,BoreasWing,G5,Boreas Silver/Arctic Blue,26,carbon,isometric,1650,Intermediate
Quantum Paradox,even balance,82,ParadoxTech,G3,Paradox Black/Schrodinger's Blue,27,graphite,oval,1850,Advanced
Thunderbolt Raijin,head heavy,86,RaijinForce,G4,Raijin Gold/Storm Gray,29,carbon,isometric,2100,Professional
Swift Cheetah,head light,77,CheetahSpeed,G5,Cheetah Orange/Savannah Tan,25,graphite,oval,1700,Intermediate
Vortex Tsunami,even balance,84,TsunamiTech,G3,Tsunami Blue/Wave White,28,carbon,isometric,1900,Advanced
Cyclone Tornado,head heavy,87,TornadoForce,G4,Tornado Red/Cyclone Gray,30,graphite,oval,2150,Professional
Stealth Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost White,26,carbon,isometric,1650,Intermediate
Hurricane Tempest,even balance,83,TempestForce,G3,Tempest Green/Storm Silver,28,graphite,oval,1950,Advanced
Phantom Specter,head heavy,85,SpecterTech,G4,Specter Gray/Ectoplasm Green,29,carbon,isometric,2000,Professional
Cosmic Nebula,head light,78,NebulaTech,G5,Nebula Pink/Celestial Blue,25,graphite,oval,1750,Intermediate
AirStream Slipstream,even balance,82,SlipstreamTech,G3,Slipstream Silver/Sky Blue,27,carbon,isometric,1850,Advanced
Titan Prometheus,head heavy,86,PrometheusForce,G4,Prometheus Orange/Olympian Gold,30,graphite,oval,2100,Professional
LightSpeed Lumina,head light,77,LuminaTech,G5,Lumina White/Prism Rainbow,26,carbon,isometric,1700,Intermediate
Precision Osprey,even balance,81,OspreyTech,G3,Osprey Gray/Ocean Blue,28,graphite,oval,1800,Advanced
Tornado Vortex,head heavy,85,VortexForce,G4,Vortex Purple/Whirlwind Silver,29,carbon,isometric,2050,Professional
Kinetic Proton,dual balanced,84,ProtonTech,G5,Proton Red/Neutron Blue,28,graphite,oval,1950,Advanced
Stellar Comet,head heavy,88,CometTech,G4,Comet Silver/Meteor Gray,30,carbon,oval,2200,Professional
Aero Stratos,even balance,81,StratosForce,G3,Stratos Blue/Sky White,27,graphite,isometric,1850,Advanced
Whirlwind Gale,head light,76,GaleTech,G5,Gale White/Wind Gray,25,carbon,oval,1600,Intermediate
Magma Volcano,head heavy,87,VolcanoForce,G4,Volcano Red/Lava Black,31,graphite,isometric,2150,Professional
Breeze Zephyr,head light,75,ZephyrWing,G5,Zephyr Silver/Cloud Blue,26,carbon,oval,1650,Intermediate
Nebula Eclipse,even balance,82,EclipseTech,G3,Eclipse Black/Starry Blue,28,graphite,isometric,1900,Advanced
Lightning Bolt,head heavy,85,BoltForce,G4,Bolt Gold/Storm Gray,29,carbon,oval,2050,Professional
Speedster Jaguar,head light,77,JaguarSpeed,G5,Jaguar Orange/Forest Tan,25,graphite,isometric,1700,Intermediate
Tempest Typhoon,even balance,83,TyphoonTech,G3,Typhoon Blue/Wave White,27,carbon,oval,1950,Advanced
Twister Cyclone,head heavy,86,CycloneForce,G4,Cyclone Red/Tornado Gray,30,graphite,isometric,2100,Professional
Phantom Mirage,head light,76,MirageTech,G5,Mirage Black/Ghost White,26,carbon,oval,1650,Intermediate
Storm Surge,even balance,84,SurgeForce,G3,Surge Green/Storm Silver,28,graphite,isometric,2000,Advanced
Shadow Specter,head heavy,87,SpecterForce,G4,Specter Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
Celestial Nova,head light,78,NovaWing,G5,Nova Pink/Starry Blue,25,graphite,isometric,1750,Intermediate
AirFlow Stream,even balance,82,StreamTech,G3,Stream Silver/Sky Blue,27,carbon,oval,1900,Advanced
Blaze Prometheus,head heavy,86,PrometheusWing,G4,Prometheus Orange/Olympian Gold,30,graphite,isometric,2100,Professional
LightSpeed Aurora,head light,77,AuroraTech,G5,Aurora White/Prism Rainbow,26,carbon,oval,1700,Intermediate
Precision Falcon,even balance,81,FalconTech,G3,Falcon Gray/Ocean Blue,28,graphite,isometric,1800,Advanced
Twister Tornado,head heavy,85,TornadoWing,G4,Tornado Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
Kinetic Neutron,dual balanced,84,NeutronTech,G5,Neutron Red/Proton Blue,28,graphite,isometric,1950,Advanced
Aurora Polaris,head light,76,PolarisTech,G5,Polaris White/Aurora Green,25,carbon,oval,1600,Intermediate
Meteor Blaze,head heavy,88,BlazeForce,G4,Blaze Orange/Meteor Black,31,graphite,isometric,2200,Professional
Nimbus Sky,even balance,82,SkyTech,G3,Sky Blue/Cloud White,27,graphite,oval,1850,Advanced
Gust Tempest,head light,75,TempestWing,G5,Tempest White/Wind Gray,26,carbon,isometric,1650,Intermediate
Inferno Magma,head heavy,87,MagmaForce,G4,Magma Red/Flame Black,30,graphite,oval,2150,Professional
Cyclone Twister,even balance,84,TwisterTech,G3,Twister Blue/Wind White,28,graphite,isometric,1900,Advanced
Thunderbolt Zeus,head heavy,85,ZeusForce,G4,Zeus Gold/Thunder Gray,29,carbon,oval,2050,Professional
Panther Swift,head light,77,SwiftTech,G5,Swift Orange/Jungle Tan,25,graphite,isometric,1700,Intermediate
Tempest Surge,even balance,83,SurgeTech,G3,Surge Blue/Wave White,27,carbon,oval,1950,Advanced
Typhoon Hurricane,head heavy,86,HurricaneForce,G4,Hurricane Red/Storm Gray,30,graphite,isometric,2100,Professional
Mirage Phantom,head light,76,PhantomWing,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
Storm Cyclone,even balance,84,CycloneWing,G3,Cyclone Green/Storm Silver,28,graphite,isometric,2000,Advanced
Specter Shadow,head heavy,87,ShadowTech,G4,Shadow Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
Starlight Nova,head light,78,NovaForce,G5,Nova Pink/Starlight Blue,25,graphite,isometric,1750,Intermediate
Streamline AirFlow,even balance,82,AirFlowTech,G3,AirFlow Silver/Sky Blue,27,carbon,oval,1900,Advanced
Prometheus Blaze,head heavy,86,BlazeWing,G4,Blaze Orange/Olympian Gold,30,graphite,isometric,2100,Professional
Luminous Aurora,head light,77,AuroraWing,G5,Aurora White/Prism Green,26,carbon,oval,1700,Intermediate
Falcon Precision,even balance,81,PrecisionTech,G3,Precision Gray/Ocean Blue,28,graphite,isometric,1800,Advanced
Tornado Twister,head heavy,85,TwisterWing,G4,Twister Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
Proton Kinetic,dual balanced,84,KineticTech,G5,Kinetic Red/Neutron Blue,28,graphite,isometric,1950,Advanced
Orion Zenith,head heavy,88,ZenithForce,G4,Zenith Gold/Starlight White,31,graphite,oval,2200,Professional
Vega Nova,even balance,82,NovaWing,G3,Nova Silver/Galaxy Blue,27,graphite,isometric,1850,Advanced
Breeze Feather,head light,75,FeatherTech,G5,Feather White/Light Gray,25,carbon,oval,1600,Intermediate
Inferno Lava,head heavy,87,LavaForce,G4,Lava Red/Charcoal Black,30,graphite,isometric,2150,Professional
Typhoon Storm,head light,76,StormWing,G5,Storm Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
Eclipse Cosmos,even balance,82,CosmosTech,G3,Cosmos Black/Nebula Blue,28,graphite,isometric,1900,Advanced
Lightning Thunder,head heavy,85,ThunderForce,G4,Thunder Gold/Storm Gray,29,carbon,oval,2050,Professional
Jaguar Speed,head light,77,SpeedTech,G5,Speed Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
Typhoon Surge,even balance,83,SurgeWing,G3,Surge Blue/Wave White,27,carbon,oval,1950,Advanced
Twister Vortex,head heavy,86,VortexForce,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1650,Intermediate
Cyclone Storm,even balance,84,StormTech,G3,Storm Green/Tempest Silver,28,graphite,isometric,2000,Advanced
Shadow Spectre,head heavy,87,SpectreForce,G4,Spectre Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
Celestial Star,head light,78,StarTech,G5,Star Pink/Celestial Blue,25,graphite,isometric,1750,Intermediate
Aero Stream,even balance,82,StreamWing,G3,Stream Silver/Sky Blue,27,carbon,oval,1900,Advanced
Blaze Inferno,head heavy,86,InfernoTech,G4,Inferno Orange/Olympian Gold,30,graphite,isometric,2100,Professional
Aurora Light,head light,77,LightTech,G5,Light White/Prism Green,26,carbon,oval,1700,Intermediate
Falcon Precision,even balance,81,FalconWing,G3,Falcon Gray/Ocean Blue,28,graphite,isometric,1800,Advanced
Twister Tornado,head heavy,85,TornadoTech,G4,Tornado Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
Kinetic Proton,dual balanced,84,ProtonWing,G5,Proton Red/Neutron Blue,28,graphite,isometric,1950,Advanced
Orion Meteor,head heavy,88,MeteorForce,G4,Meteor Gold/Starlight White,31,graphite,oval,2200,Professional
Vega Zenith,even balance,82,ZenithWing,G3,Zenith Silver/Galaxy Blue,27,graphite,isometric,1850,Advanced
Feather Breeze,head light,75,BreezeTech,G5,Breeze White/Light Gray,25,carbon,oval,1600,Intermediate
Inferno Flame,head heavy,87,FlameForce,G4,Flame Red/Charcoal Black,30,graphite,isometric,2150,Professional
Typhoon Gale,head light,76,GaleWing,G5,Gale Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
Eclipse Nebula,even balance,82,NebulaTech,G3,Nebula Black/Starry Blue,28,graphite,isometric,1900,Advanced
Lightning Bolt,head heavy,85,BoltTech,G4,Bolt Gold/Storm Gray,29,carbon,oval,2050,Professional
Panther Speed,head light,77,SpeedWing,G5,Speed Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
Typhoon Surge,even balance,83,SurgeForce,G3,Surge Blue/Wave White,27,carbon,oval,1950,Advanced
Twister Cyclone,head heavy,86,CycloneForce,G4,Cyclone Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
Ghost Shadow,head light,76,ShadowWing,G5,Shadow Black/Ghost Silver,26,carbon,oval,1650,Intermediate
Cyclone Typhoon,even balance,84,TyphoonTech,G3,Typhoon Green/Tempest Silver,28,graphite,isometric,2000,Advanced
Specter Phantom,head heavy,87,PhantomForce,G4,Phantom Gray/Ectoplasm Green,30,carbon,oval,2150,Professional
Celestial Comet,head light,78,CometTech,G5,Comet Pink/Celestial Blue,25,graphite,isometric,1750,Intermediate
Aero Glide,even balance,82,GlideWing,G3,Glide Silver/Sky Blue,27,carbon,oval,1900,Advanced
Blaze Prometheus,head heavy,86,PrometheusTech,G4,Prometheus Orange/Olympian Gold,30,graphite,isometric,2100,Professional
Aurora Light,head light,77,LightWing,G5,Light White/Prism Green,26,carbon,oval,1700,Intermediate
Falcon Sharp,even balance,81,SharpTech,G3,Sharp Gray/Ocean Blue,28,graphite,isometric,1800,Advanced
Twister Whirlwind,head heavy,85,WhirlwindTech,G4,Whirlwind Purple/Whirlwind Silver,29,carbon,oval,2050,Professional
Kinetic Proton,dual balanced,84,ProtonForce,G5,Proton Red/Neutron Blue,28,graphite,isometric,1950,Advanced
Orion Nova,head heavy,88,NovaForce,G4,Nova Gold/Starlight White,31,graphite,oval,2200,Professional
Vega Meteor,even balance,82,MeteorWing,G3,Meteor Silver/Galaxy Blue,27,graphite,isometric,1850,Advanced
Feather Light,head light,75,LightTech,G5,Light White/Light Gray,25,carbon,oval,1600,Intermediate
Inferno Blaze,head heavy,87,BlazeWing,G4,Blaze Red/Charcoal Black,30,graphite,isometric,2150,Professional
Typhoon Tempest,head light,76,TempestTech,G5,Tempest Gray/Tempest Blue,26,carbon,oval,1650,Intermediate
Eclipse Galaxy,even balance,82,GalaxyTech,G3,Galaxy Black/Starry Blue,28,graphite,isometric,1900,Advanced
Lightning Thunder,head heavy,85,ThunderWing,G4,Thunder Gold/Storm Gray,29,carbon,oval,2050,Professional
Panther Swift,head light,77,SwiftWing,G5,Swift Orange/Savannah Tan,25,graphite,isometric,1700,Intermediate
Twister Vortex,head heavy,86,VortexWing,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2100,Professional
Cyclone Typhoon,even balance,84,TyphoonForce,G3,Typhoon Green/Tempest Silver,28,graphite,isometric,2000,Advanced
Celestial Nova,head light,78,NovaTech,G5,Nova Pink/Starry Blue,25,graphite,isometric,1750,Intermediate
Aero Stream,even balance,82,StreamTech,G3,Stream Silver/Sky Blue,27,carbon,oval,1900,Advanced
Blaze Inferno,head heavy,86,InfernoWing,G4,Inferno Orange/Olympian Gold,30,graphite,isometric,2100,Professional
Falcon Precision,even balance,81,FalconTech,G3,Falcon Gray/Ocean Blue,28,graphite,isometric,1800,Advanced
Falcon Precision,even balance,81,FalconElite,G3,Falcon Gray/Aqua Blue,28,graphite,isometric,1820,Advanced
Whirlwind Force,head heavy,86,ForceTech,G4,Force Purple/Tornado Silver,29,carbon,oval,2070,Professional
Kinetic Gamma,dual balanced,83,GammaForce,G5,Gamma Red/Neutron Silver,28,graphite,isometric,1980,Advanced
Orion Comet,head heavy,88,CometTech,G4,Comet Gold/Star White,31,graphite,oval,2250,Professional
Vega Pulsar,even balance,81,PulsarWing,G3,Pulsar Silver/Nebula Blue,27,graphite,isometric,1880,Advanced
Feather Breeze,head light,74,BreezeTech,G5,Breeze White/Light Blue,25,carbon,oval,1620,Intermediate
Inferno Scorch,head heavy,87,ScorchForce,G4,Scorch Red/Ember Black,30,graphite,isometric,2170,Professional
Typhoon Wave,head light,75,WaveWing,G5,Wave Gray/Ocean Blue,26,carbon,oval,1670,Intermediate
Eclipse Solar,even balance,83,SolarTech,G3,Solar Black/Sun Blue,28,graphite,isometric,1920,Advanced
Lightning Bolt,head heavy,84,BoltForce,G4,Bolt Gold/Thunder Gray,29,carbon,oval,2070,Professional
Panther Agile,head light,76,AgileTech,G5,Agile Orange/Jungle Tan,25,graphite,isometric,1720,Intermediate
Typhoon Surge,even balance,83,SurgeWing,G3,Surge Blue/Wave White,27,carbon,oval,1970,Advanced
Twister Cyclone,head heavy,86,CycloneForce,G4,Cyclone Red/Storm Gray,30,graphite,isometric,2120,Professional
Ghost Wraith,head light,76,WraithTech,G5,Wraith Black/Phantom Silver,26,carbon,oval,1670,Intermediate
Cyclone Fury,even balance,84,FuryTech,G3,Fury Green/Typhoon Silver,28,graphite,isometric,2020,Advanced
Shadow Phantom,head heavy,87,PhantomForce,G4,Phantom Gray/Ghost Green,30,carbon,oval,2170,Professional
Celestial Quasar,head light,78,QuasarTech,G5,Quasar Pink/Star Blue,25,graphite,isometric,1770,Intermediate
Aero Glide,even balance,82,GlideWing,G3,Glide Silver/Sky Blue,27,carbon,oval,1920,Advanced
Blaze Firestorm,head heavy,86,FirestormTech,G4,Firestorm Orange/Olympian Gold,30,graphite,isometric,2120,Professional
Aurora Spark,head light,77,SparkWing,G5,Spark White/Prism Green,26,carbon,oval,1720,Intermediate
Falcon Apex,even balance,81,ApexTech,G3,Apex Gray/Ocean Blue,28,graphite,isometric,1820,Advanced
Twister Tempest,head heavy,85,TempestTech,G4,Tempest Purple/Whirlwind Silver,29,carbon,oval,2070,Professional
Kinetic Quark,dual balanced,84,QuarkForce,G5,Quark Red/Neutron Blue,28,graphite,isometric,1980,Advanced
Orion Nebula,head heavy,88,NebulaForce,G4,Nebula Gold/Starlight White,31,graphite,oval,2250,Professional
Vega Starburst,even balance,82,StarburstWing,G3,Starburst Silver/Galaxy Blue,27,graphite,isometric,1880,Advanced
Feather Lightwing,head light,75,LightwingTech,G5,Lightwing White/Light Gray,25,carbon,oval,1620,Intermediate
Inferno Blaze,head heavy,87,BlazeForce,G4,Blaze Red/Charcoal Black,30,graphite,isometric,2170,Professional
Typhoon Thunder,head light,76,ThunderTech,G5,Thunder Gray/Storm Blue,26,carbon,oval,1670,Intermediate
Eclipse Stellar,even balance,82,StellarTech,G3,Stellar Black/Nebula Blue,28,graphite,isometric,1920,Advanced
Lightning Spark,head heavy,85,SparkForce,G4,Spark Gold/Thunder Gray,29,carbon,oval,2070,Professional
Panther Speedster,head light,77,SpeedsterTech,G5,Speedster Orange/Savannah Tan,25,graphite,isometric,1720,Intermediate
Typhoon Stormer,even balance,83,StormerWing,G3,Stormer Blue/Wave White,27,carbon,oval,1970,Advanced
Twister Cyclone,head heavy,86,CycloneWing,G4,Cyclone Red/Whirlwind Gray,30,graphite,isometric,2120,Professional
Ghost Phantom,head light,76,PhantomTech,G5,Phantom Black/Ghost Silver,26,carbon,oval,1670,Intermediate
Cyclone Vortex,even balance,84,VortexTech,G3,Vortex Green/Tempest Silver,28,graphite,isometric,2020,Advanced
Specter Phantom,head heavy,87,PhantomForce,G4,Phantom Gray/Ectoplasm Green,30,carbon,oval,2170,Professional
Celestial Nova,head light,78,NovaTech,G5,Nova Pink/Starry Blue,25,graphite,isometric,1770,Intermediate
Aero Streamer,even balance,82,StreamerTech,G3,Streamer Silver/Sky Blue,27,carbon,oval,1920,Advanced
Blaze Inferno,head heavy,86,InfernoWing,G4,Inferno Orange/Olympian Gold,30,graphite,isometric,2120,Professional
Aurora Light,head light,77,LightWing,G5,Light White/Prism Green,26,carbon,oval,1720,Intermediate
Falcon Elite,even balance,81,EliteTech,G3,Elite Gray/Ocean Blue,28,graphite,isometric,1820,Advanced
Twister Whirlwind,head heavy,85,WhirlwindTech,G4,Whirlwind Purple/Tornado Silver,29,carbon,oval,2070,Professional
Kinetic Proton,dual balanced,84,ProtonForce,G5,Proton Red/Neutron Blue,28,graphite,isometric,1980,Advanced
Orion Zenith,head heavy,88,ZenithTech,G4,Zenith Gold/Starlight White,31,graphite,oval,2250,Professional
Vega Nova,even balance,82,NovaWing,G3,Nova Silver/Galaxy Blue,27,graphite,isometric,1880,Advanced
Breeze Feather,head light,75,FeatherTech,G5,Feather White/Light Gray,25,carbon,oval,1620,Intermediate
Inferno Lava,head heavy,87,LavaTech,G4,Lava Red/Ember Black,30,graphite,isometric,2170,Professional
Typhoon Storm,head light,76,StormWing,G5,Storm Gray/Tempest Blue,26,carbon,oval,1670,Intermediate
Eclipse Cosmos,even balance,82,CosmosTech,G3,Cosmos Black/Nebula Blue,28,graphite,isometric,1920,Advanced
Lightning Thunder,head heavy,85,ThunderForce,G4,Thunder Gold/Storm Gray,29,carbon,oval,2070,Professional
Jaguar Speed,head light,77,SpeedTech,G5,Speed Orange/Savannah Tan,25,graphite,isometric,1720,Intermediate
Twister Vortex,head heavy,86,VortexForce,G4,Vortex Red/Whirlwind Gray,30,graphite,isometric,2120,Professional
Cyclone Storm,even balance,84,StormTech,G3,Storm Green/Tempest Silver,28,graphite,isometric,2020,Advanced
Hurricane Surge,even balance,82,SurgeTech,G3,Surge Green/Wind White,27,graphite,isometric,1930,Advanced
Meteor Blaze,head heavy,88,BlazeTech,G4,Blaze Red/Fire Gold,31,graphite,oval,2300,Professional
Quasar Spark,head light,78,SparkTech,G5,Spark Pink/Star Silver,25,graphite,isometric,1800,Intermediate
Orbit Storm,even balance,84,StormWing,G3,Storm Blue/Cosmic White,28,graphite,oval,1950,Advanced
Photon Radiance,head heavy,86,RadianceTech,G4,Radiance Gold/Light Silver,29,carbon,isometric,2200,Professional
Nebula Comet,head light,76,CometWing,G5,Comet Black/Nebula Blue,26,graphite,oval,1680,Intermediate
Volcano Inferno,head heavy,89,InfernoTech,G4,Inferno Orange/Crimson Red,32,carbon,isometric,2350,Professional
Aero Breeze,even balance,83,BreezeWing,G3,Breeze White/Sky Blue,27,graphite,oval,1920,Advanced
Vortex Cyclone,head heavy,87,CycloneTech,G4,Cyclone Purple/Storm Gray,30,graphite,isometric,2180,Professional
Nova Starlight,head light,77,StarlightTech,G5,Starlight Silver/Night Black,26,carbon,oval,1720,Intermediate
Comet Blaze,even balance,84,BlazeWing,G3,Blaze Red/Yellow Flame,28,graphite,isometric,1960,Advanced
Stellar Radiance,head heavy,85,RadianceWing,G4,Radiance Silver/Star Gold,29,carbon,oval,2220,Professional
Aurora Flash,head light,78,FlashTech,G5,Flash White/Rainbow Blue,25,graphite,isometric,1800,Intermediate
Tornado Storm,even balance,82,StormTech,G3,Storm Green/Wind White,27,carbon,oval,1930,Advanced
Meteor Lightning,head heavy,88,LightningWing,G4,Lightning Gold/Storm Silver,31,graphite,isometric,2300,Professional
Prism Light,head light,76,LightWing,G5,Light Pink/Prism White,26,carbon,oval,1680,Intermediate
Cyclone Thunder,even balance,84,ThunderTech,G3,Thunder Blue/Storm Gray,28,graphite,isometric,1950,Advanced
Nova Starburst,head heavy,86,StarburstTech,G4,Starburst Gold/Night Black,29,graphite,isometric,2200,Professional
Quasar Flame,head light,78,FlameWing,G5,Flame Orange/Star Silver,25,carbon,isometric,1800,Intermediate
Hurricane Tempest,even balance,83,TempestWing,G3,Tempest Blue/Wind White,27,graphite,oval,1920,Advanced
Inferno Magma,head heavy,89,MagmaTech,G4,Magma Red/Crimson Black,32,graphite,isometric,2350,Professional
Aero Glide,even balance,82,GlideTech,G3,Glide White/Sky Blue,27,carbon,oval,1930,Advanced
Vortex Fury,head heavy,87,FuryWing,G4,Fury Purple/Storm Gray,30,graphite,isometric,2180,Professional
Orion Zenith,head light,77,ZenithTech,G5,Zenith Silver/Night Black,26,carbon,oval,1720,Intermediate
Comet Spark,even balance,84,SparkWing,G3,Spark Red/Yellow Flame,28,graphite,isometric,1960,Advanced
Stellar Blaze,head heavy,85,BlazeWing,G4,Blaze Silver/Star Gold,29,carbon,oval,2220,Professional
Nebula Flash,head light,78,FlashWing,G5,Flash White/Nebula Blue,25,graphite,isometric,1800,Intermediate
Tornado Surge,even balance,82,SurgeTech,G3,Surge Green/Wind White,27,carbon,oval,1930,Advanced
Meteor Blaze,head heavy,88,BlazeWing,G4,Blaze Gold/Fire Silver,31,graphite,isometric,2300,Professional
Photon Radiance,head light,76,RadianceTech,G5,Radiance Pink/Light Blue,26,carbon,oval,1680,Intermediate
Cyclone Tempest,even balance,84,TempestWing,G3,Tempest Green/Storm Gray,28,graphite,isometric,1950,Advanced
Nova Lightning,head heavy,86,LightningTech,G4,Lightning Silver/Night Black,29,graphite,isometric,2200,Professional
Quasar Blaze,head light,78,BlazeTech,G5,Blaze White/Star Silver,25,carbon,isometric,1800,Intermediate
Hurricane Storm,even balance,83,StormWing,G3,Storm Blue/Wind White,27,graphite,oval,1920,Advanced
Inferno Volcanic,head heavy,89,VolcanoTech,G4,Volcanic Red/Crimson Black,32,graphite,isometric,2350,Professional
Aero Tempest,even balance,82,TempestTech,G3,Tempest White/Sky Blue,27,carbon,oval,1930,Advanced
Vortex Lightning,head heavy,87,LightningTech,G4,Lightning Purple/Storm Gray,30,graphite,isometric,2180,Professional
Orion Radiance,head light,77,RadianceWing,G5,Radiance Silver/Night Black,26,carbon,oval,1720,Intermediate
Comet Blaze,even balance,84,BlazeTech,G3,Blaze Red/Yellow Flame,28,graphite,isometric,1960,Advanced
Stellar Thunder,head heavy,85,ThunderTech,G4,Thunder Silver/Star Gold,29,carbon,oval,2220,Professional
Nebula Spark,head light,78,SparkTech,G5,Spark White/Nebula Blue,25,graphite,isometric,1800,Intermediate
Tornado Surge,even balance,82,SurgeWing,G3,Surge Green/Wind White,27,carbon,oval,1930,Advanced
Meteor Blaze,head heavy,88,BlazeTech,G4,Blaze Gold/Fire Silver,31,graphite,isometric,2300,Professional
Photon Flash,head light,76,FlashTech,G5,Flash Pink/Light Blue,26,carbon,oval,1680,Intermediate
Cyclone Storm,even balance,84,StormTech,G3,Storm Green/Tempest Gray,28,graphite,isometric,1950,Advanced
Nova Inferno,head heavy,86,InfernoTech,G4,Inferno Silver/Night Black,29,graphite,isometric,2200,Professional
Quasar Storm,head light,78,StormWing,G5,Storm White/Star Silver,25,carbon,isometric,1800,Intermediate
Hurricane Radiance,even balance,83,RadianceTech,G3,Radiance Blue/Wind White,27,graphite,oval,1920,Advanced
Aero Surge,even balance,82,SurgeTech,G3,Surge White/Sky Blue,27,carbon,oval,1930,Advanced
Vortex Blaze,head heavy,87,BlazeTech,G4,Blaze Purple/Storm Gray,30,graphite,isometric,2180,Professional
Orion Flash,head light,77,FlashWing,G5,Flash Silver/Night Black,26,carbon,oval,1720,Intermediate
Comet Radiance,even balance,84,RadianceWing,G3,Radiance Red/Yellow Flame,28,graphite,isometric,1960,Advanced
Stellar Surge,head heavy,85,SurgeTech,G4,Surge Silver/Star Gold,29,carbon,oval,2220,Professional
Nebula Blaze,head light,78,BlazeWing,G5,Blaze White/Nebula Blue,25,graphite,isometric,1800,Intermediate
Tornado Radiance,even balance,82,RadianceTech,G3,Radiance Green/Wind White,27,carbon,oval,1930,Advanced
Bolt 55,Even Balance,80,Yonex,G4,Blue,22,Graphite,Round,1500,Beginner
Blaze 70,Head Heavy,85,Wilson,G2,Red,26,Carbon Fiber,Isometric,1800,Beginner
Swift 60,Head Light,78,Babolat,G3,Black,23,Composite,Oval,1300,Beginner
Firestorm 65,Even Balance,70,Prince,G2,Green,25,Alloy,Oval,1100,Beginner
Storm 50,Head Heavy,82,Head,G3,Yellow,24,Graphene,Oval,1400,Beginner
Glide 45,Even Balance,76,Dunlop,G2,Orange,21,Titanium,Round,1600,Beginner
Fury 80,Head Light,79,Wilson,G3,Blue,23,Fiberglass,Oval,1250,Beginner
Rapid 58,Even Balance,74,Yonex,G4,Red,20,Carbon Composite,Round,1700,Beginner
Zenith 75,Head Heavy,83,Babolat,G2,Green,27,Aluminum,Oval,1350,Beginner
